filepath,filename,width,height,n_pixels,n_unique_colors,file_size_bytes,entropy_bits,O_rank_by_entropy
".\data\images\Dunes,_Désert_du_Thar.jpg","Dunes,_Désert_du_Thar.jpg",640,413,264320,14094,45503,12.054484489167699,68
".\data\images\640px-Joe_Donnelly,_official_portrait,_113th_Congress.jpg","640px-Joe_Donnelly,_official_portrait,_113th_Congress.jpg",640,800,512000,66071,93432,12.071968228895049,69
.\data\images\Night_Lights_of_Jeruasalem_from_Mount_Scopus_(7623841378).jpg,Night_Lights_of_Jeruasalem_from_Mount_Scopus_(7623841378).jpg,640,427,273280,38320,44298,12.11169678567532,70
".\data\images\Sand_dunes_in_the_desert,_Sahara_Desert,_Dakhla_Oasis,_Egypt.jpg","Sand_dunes_in_the_desert,_Sahara_Desert,_Dakhla_Oasis,_Egypt.jpg",640,427,273280,16677,117981,12.124523147644764,71
.\data\images\Ottalie_Mark.jpg,Ottalie_Mark.jpg,640,781,499840,18612,194554,12.176316798880194,72
.\data\images\Snow_covered_Cotswold_landscape_-_geograph.org.uk_-_1154564.jpg,Snow_covered_Cotswold_landscape_-_geograph.org.uk_-_1154564.jpg,640,426,272640,18721,62580,12.207143795104912,73
.\data\images\640px-The_Desert_Ultra_-_Sand_Dunes.jpg,640px-The_Desert_Ultra_-_Sand_Dunes.jpg,640,960,614400,20890,63468,12.261870098948528,74
.\data\images\Sam_Brownback_official_portrait_2_headshot.jpg,Sam_Brownback_official_portrait_2_headshot.jpg,640,666,426240,35844,75415,12.308921106959968,75
.\data\images\Sand_dunes_of_thar_desert.jpg,Sand_dunes_of_thar_desert.jpg,640,480,307200,21297,75464,12.356507302498809,76
.\data\images\Landscape_near_Bamburgh_-_geograph.org.uk_-_1639776.jpg,Landscape_near_Bamburgh_-_geograph.org.uk_-_1639776.jpg,640,474,303360,26451,88992,12.367580103122814,77
.\data\images\Imperial_Sand_Dunes_Recreation_Area_(29032875605).jpg,Imperial_Sand_Dunes_Recreation_Area_(29032875605).jpg,640,322,206080,18291,47890,12.39407975165504,78
".\data\images\Front_facade_of_St._George's_Parish_Church,_Piran,_Slovenia,_20240504_1727_8693.jpg","Front_facade_of_St._George's_Parish_Church,_Piran,_Slovenia,_20240504_1727_8693.jpg",640,658,421120,56161,107830,12.405432019072709,79
.\data\images\Curtain_wall_architecture_building.jpg,Curtain_wall_architecture_building.jpg,640,480,307200,32082,61209,12.419325849609773,80
".\data\images\Dülmen,_Kirchspiel,_Feld_in_Börnste_--_2016_--_0383.jpg","Dülmen,_Kirchspiel,_Feld_in_Börnste_--_2016_--_0383.jpg",640,427,273280,25174,106897,12.467027960322895,81
.\data\images\640px-City_Lights_–_Singapore_(3402557962).jpg,640px-City_Lights_–_Singapore_(3402557962).jpg,640,281,179840,48948,49654,12.522315944596665,82
".\data\images\Castillo_de_Montuenga,_Montuenga_de_Soria,_Soria,_España,_2017-05-23,_DD_04.jpg","Castillo_de_Montuenga,_Montuenga_de_Soria,_Soria,_España,_2017-05-23,_DD_04.jpg",640,337,215680,32529,47685,12.529507026531249,83
.\data\images\640px-Clouds_in_the_sky_landscape.jpg,640px-Clouds_in_the_sky_landscape.jpg,640,480,307200,24453,52356,12.586210241595069,84
.\data\images\Sen._Martha_McSally_official_Senate_headshot_116th_congress_(cropped).jpg,Sen._Martha_McSally_official_Senate_headshot_116th_congress_(cropped).jpg,640,800,512000,38747,110756,12.605310843876117,85
".\data\images\Mumbai,_India,_Bombay,_Mumbai_city_skyline_at_night.jpg","Mumbai,_India,_Bombay,_Mumbai_city_skyline_at_night.jpg",640,427,273280,39167,58991,12.689849150885092,86
.\data\images\Snow_over_a_field_of_Joshua_trees_in_Lost_Horse_Valley_(51194767674).jpg,Snow_over_a_field_of_Joshua_trees_in_Lost_Horse_Valley_(51194767674).jpg,640,427,273280,19223,62673,12.70288386642131,87
.\data\images\Sand_dunes_in_desert_day.jpg,Sand_dunes_in_desert_day.jpg,640,853,545920,61608,199611,12.74544147993296,88
.\data\images\Desert_Sand_Dunes_near_sunset.jpg,Desert_Sand_Dunes_near_sunset.jpg,640,480,307200,33919,44014,12.752808938075665,89
".\data\images\Münster,_Fürstbischöfliches_Schloss_--_2018_--_1930-31_(cropped).jpg","Münster,_Fürstbischöfliches_Schloss_--_2018_--_1930-31_(cropped).jpg",640,360,230400,58051,55531,12.794912596068786,90
.\data\images\Čičmany_landscape_-_panoramio_(1).jpg,Čičmany_landscape_-_panoramio_(1).jpg,640,480,307200,37270,56246,12.796801728986075,91
.\data\images\Blue_sky_with_clouds_above_ploughed_farmland.jpg,Blue_sky_with_clouds_above_ploughed_farmland.jpg,640,750,480000,38985,78944,12.882759740485902,92
.\data\images\Sand_Dunes_sa.jpg,Sand_Dunes_sa.jpg,640,427,273280,27777,53426,12.936184772576443,93
".\data\images\Schloss_Augustusburg,_Western_Facade,_November_2017.jpg","Schloss_Augustusburg,_Western_Facade,_November_2017.jpg",640,293,187520,42043,53504,12.950624233558123,94
".\data\images\Trees_rising_out_of_Cheow_Lan_Lake,_blue_sky,_eternal_summer_in_Surat_Thani_edited.jpg","Trees_rising_out_of_Cheow_Lan_Lake,_blue_sky,_eternal_summer_in_Surat_Thani_edited.jpg",640,444,284160,37655,60393,12.958252450062892,95
.\data\images\Lake_Helen_in_June_2022-6022.jpg,Lake_Helen_in_June_2022-6022.jpg,640,382,244480,33653,91540,13.03770128607074,96
.\data\images\Blue_sky_and_white_clouds_above_Highpark_Wood_-_geograph.org.uk_-_6318192.jpg,Blue_sky_and_white_clouds_above_Highpark_Wood_-_geograph.org.uk_-_6318192.jpg,640,480,307200,29727,54062,13.06786782132734,97
.\data\images\Auckland_Harbour_Bridge_Girder.jpg,Auckland_Harbour_Bridge_Girder.jpg,640,853,545920,54874,128546,13.105313808608702,98
.\data\images\Cirrus_uncinus_clouds_in_the_morning_sky.jpg,Cirrus_uncinus_clouds_in_the_morning_sky.jpg,640,427,273280,29646,69875,13.108177420374792,99
.\data\images\A_sand_dune_in_the_Maranjab_Desert_of_Iran-_Photographer_Mostafa_Meraji_10.jpg,A_sand_dune_in_the_Maranjab_Desert_of_Iran-_Photographer_Mostafa_Meraji_10.jpg,640,427,273280,25429,111847,13.143179952031876,100
.\data\images\Landscape_in_Snow_-_panoramio.jpg,Landscape_in_Snow_-_panoramio.jpg,640,478,305920,28056,105942,13.190253088752469,101
.\data\images\USA_Lassen_NP_Kings_Creek_CA.jpg,USA_Lassen_NP_Kings_Creek_CA.jpg,640,204,130560,28828,37802,13.223665517020528,102
.\data\images\Industrial_Building_2012-09-05_20-57-46.jpg,Industrial_Building_2012-09-05_20-57-46.jpg,640,480,307200,28298,91852,13.23801719585784,103
.\data\images\Barley_crop_-blue_sky-4May2008.jpg,Barley_crop_-blue_sky-4May2008.jpg,640,427,273280,26779,61639,13.28189381167721,104
".\data\images\Sand_dunes,_Libyan_Desert,_Dakhla_Oasis,_Egypt.jpg","Sand_dunes,_Libyan_Desert,_Dakhla_Oasis,_Egypt.jpg",640,427,273280,35656,84614,13.371977061588208,105
.\data\images\WC_Office_Building_04.jpg,WC_Office_Building_04.jpg,640,424,271360,45600,65260,13.462938705426131,106
.\data\images\Snow_covering_a_field.jpg,Snow_covering_a_field.jpg,640,480,307200,37781,84787,13.472463751490267,107
.\data\images\Datunshan_Navigation_Station_under_white_clouds_and_blue_sky_on_13th_February_2016.jpg,Datunshan_Navigation_Station_under_white_clouds_and_blue_sky_on_13th_February_2016.jpg,640,427,273280,49468,86576,13.494767610318817,108
.\data\images\Derby_Market_Hall_-_crowd_(3)_-_24_May_2025.jpg,Derby_Market_Hall_-_crowd_(3)_-_24_May_2025.jpg,640,427,273280,54298,88326,13.495719987470485,109
.\data\images\City_Lights_-_geograph.org.uk_-_1209794.jpg,City_Lights_-_geograph.org.uk_-_1209794.jpg,640,332,212480,57024,71765,13.542193472572436,110
.\data\images\Snow_near_Widford_-_geograph.org.uk_-_1155123.jpg,Snow_near_Widford_-_geograph.org.uk_-_1155123.jpg,640,429,274560,45227,75841,13.549680631217987,111
.\data\images\Milky_blue_sky_03.jpg,Milky_blue_sky_03.jpg,640,480,307200,51714,59873,13.556521798889897,112
.\data\images\Gara_Elin_Pelin_-_Bridge_01.jpg,Gara_Elin_Pelin_-_Bridge_01.jpg,640,960,614400,90473,136562,13.605551703423158,113
.\data\images\Saskatoon_city_night_lights_(8207291646).jpg,Saskatoon_city_night_lights_(8207291646).jpg,640,320,204800,40562,75882,13.609906016756877,114
.\data\images\Christmas_market_crowd_-_Winchester_-_geograph.org.uk_-_4288743.jpg,Christmas_market_crowd_-_Winchester_-_geograph.org.uk_-_4288743.jpg,640,425,272000,63770,76427,13.634720722090055,115
.\data\images\Raphael_Warnock_official_photo_(cropped).jpg,Raphael_Warnock_official_photo_(cropped).jpg,640,796,509440,67579,115545,13.667984617550708,116
.\data\images\640px-122_-_Toronto_-_Septembre_2009.jpg,640px-122_-_Toronto_-_Septembre_2009.jpg,640,172,110080,37427,26069,13.682732062011599,117
".\data\images\Coronation_crowd_in_Market_Place,_Romsey_-_geograph.org.uk_-_7475355.jpg","Coronation_crowd_in_Market_Place,_Romsey_-_geograph.org.uk_-_7475355.jpg",640,480,307200,73401,106626,13.722521215833915,118
.\data\images\Grey_Lynn_Festival_Images_2009_II.jpg,Grey_Lynn_Festival_Images_2009_II.jpg,640,480,307200,65478,77504,13.728835477527062,119
.\data\images\Sydney_skyline_at_dusk_-_Dec_2008.jpg,Sydney_skyline_at_dusk_-_Dec_2008.jpg,640,253,161920,56150,40620,13.791095557036492,120
".\data\images\Seattle_(WA,_USA),_Museum_of_Pop_Culture,_Fassade_--_2022_--_1588.jpg","Seattle_(WA,_USA),_Museum_of_Pop_Culture,_Fassade_--_2022_--_1588.jpg",640,427,273280,63745,61801,13.832113610026905,121
".\data\images\Québec_city_at_night,_view_from_Lévis_city.jpg","Québec_city_at_night,_view_from_Lévis_city.jpg",640,420,268800,73339,74546,13.886028472322103,122
.\data\images\Two_blue_water_meters_on_a_matte_red_painted_brick_facade_with_pipes_in_Seoul.jpg,Two_blue_water_meters_on_a_matte_red_painted_brick_facade_with_pipes_in_Seoul.jpg,640,427,273280,46049,74229,13.914810481146912,123
".\data\images\Field,_corn,_Liechtenstein,_Mountains,_Alps,_Vaduz,_sky,_clouds,_landscape.jpg","Field,_corn,_Liechtenstein,_Mountains,_Alps,_Vaduz,_sky,_clouds,_landscape.jpg",640,480,307200,71658,83101,13.94759615822242,124
".\data\images\ADAC-Zentrale,_Munich,_March_2017-05.jpg","ADAC-Zentrale,_Munich,_March_2017-05.jpg",640,429,274560,93046,86617,13.968123485175461,125
.\data\images\640px-Namib-Naukluft_Sand_Dunes_(2011).jpg,640px-Namib-Naukluft_Sand_Dunes_(2011).jpg,640,291,186240,49190,35847,13.994241089421006,126
.\data\images\Blue_sky_and_clouds_over_Wingra_Park_(53942516981).jpg,Blue_sky_and_clouds_over_Wingra_Park_(53942516981).jpg,640,405,259200,54005,82558,14.030691423039281,127
.\data\images\Mesquite_Sand_Dunes_in_Death_Valley.jpg,Mesquite_Sand_Dunes_in_Death_Valley.jpg,640,427,273280,60394,75752,14.030866600536367,128
.\data\images\Office_building_on_High_Holborn_-_geograph.org.uk_-_5652256.jpg,Office_building_on_High_Holborn_-_geograph.org.uk_-_5652256.jpg,640,853,545920,65318,131161,14.031005523926227,129
".\data\images\640px-Florida_city,_USA,_at_night.jpg","640px-Florida_city,_USA,_at_night.jpg",640,456,291840,104357,90295,14.053114170273842,130
".\data\images\In_the_Mojave_desert,_near_Kelso,_California_-_a_visit_to_the_Kelso_dunes_-_sand_ripples_(13843366605).jpg","In_the_Mojave_desert,_near_Kelso,_California_-_a_visit_to_the_Kelso_dunes_-_sand_ripples_(13843366605).jpg",640,427,273280,43207,64174,14.068215759578813,131
".\data\images\Édifice_Price_at_night,_Quebec_city,_Canada.jpg","Édifice_Price_at_night,_Quebec_city,_Canada.jpg",640,416,266240,68794,76392,14.079680299024597,132
.\data\images\Irbid_city_at_night.jpg,Irbid_city_at_night.jpg,640,360,230400,75056,60576,14.13602547425289,133
".\data\images\Facade_of_the_Bank_of_America_building_in_Midland,_TX.jpg","Facade_of_the_Bank_of_America_building_in_Midland,_TX.jpg",640,853,545920,85598,170983,14.142411787629161,134
.\data\images\Trusses_Under_Bridge_(106013177).jpeg,Trusses_Under_Bridge_(106013177).jpeg,640,427,273280,49771,82382,14.149984518217899,135
